ID,cluster
28597,3
28600,0
28616,0
28624,0
28631,0
28636,1
28729,1
28735,0
28736,0
28762,0
28763,0
28767,0
28780,0
28806,1
28837,0
28840,3
28849,0
28851,0
28881,1
28884,3
28902,3
28905,0
28912,1
28944,0
28959,0
28998,0
29038,0
29074,1
29078,0
29088,0
29107,0
29177,0
29185,0
29240,0
29244,0
29260,1
29270,0
29271,0
29272,0
29284,1
29304,1
29398,0
29412,0
29441,0
29442,0
29457,1
29462,0
29493,0
29531,2
29539,0
29547,0
29592,1
29594,0
29619,0
29620,0
29627,3
29665,1
29671,0
29673,0
29674,0
29701,0
29736,0
29753,0
29772,0
29777,1
29783,0
29798,0
29808,1
29829,0
29832,1
29839,0
29861,1
29869,0
29910,0
29935,1
29960,1
29988,0
29990,0
29993,1
29997,1
30006,0
30035,3
30047,3
30053,0
30088,1
30105,1
30106,1
30115,0
30123,0
30175,0
30186,0
30218,0
30267,1
30274,0
30287,1
30288,0
30294,0
30304,1
30339,1
30341,0
30349,0
30366,1
30385,1
30390,0
30397,0
30400,0
30411,1
30423,0
30432,0
30435,1
30459,1
30487,0
30489,0
30507,1
30556,2
30579,0
30593,0
30615,0
30616,1
30649,0
30674,0
30743,1
30784,0
30795,0
30867,0
30889,0
30909,0
30952,1
30969,0
30986,0
31001,1
31009,1
31033,0
31042,0
31051,0
31064,0
31066,1
31068,0
31142,0
31162,0
31164,1
31171,1
31203,0
31231,0
31233,0
31266,1
31301,0
31313,0
31349,0
31386,1
31406,1
31423,0
31427,0
31434,1
31481,1
31524,3
31526,0
31528,1
31541,1
31543,0
31546,1
31549,0
31588,0
31611,0
31632,0
31641,0
31708,0
31749,1
31765,1
31802,0
31826,0
31827,0
31844,0
31864,0
31888,0
31906,3
31918,0
31921,0
31926,0
31945,0
31967,0
31968,3
31976,0
31978,0
32013,0
32018,0
32039,1
32052,0
32054,0
32055,0
32066,0
32073,0
32100,0
32120,1
32127,0
32131,0
32136,0
32139,1
32153,1
32156,0
32166,0
32167,1
32174,1
32191,1
32215,0
32228,1
32234,0
32244,0
32247,0
32263,3
32266,0
32281,0
32289,1
32341,0
32354,0
32388,1
32390,1
32406,3
32408,0
32437,0
32453,0
32454,1
32467,0
32469,1
32477,0
32509,0
32554,0
32555,1
32567,3
32579,1
32581,0
32598,0
32613,0
32619,0
32646,0
32655,1
32665,0
32673,1
32677,0
32711,0
32713,1
32720,0
32738,0
32741,0
32753,0
32765,0
32771,1
32777,0
32779,1
32833,0
32835,1
32881,0
32893,0
32896,0
32904,0
32907,0
32919,0
32968,3
32976,1
33055,3
33084,1
33089,0
33090,1
33095,1
33105,1
33119,1
33134,0
33135,0
33149,1
33152,1
33176,1
33206,0
33213,0
33224,0
33273,1
33287,0
33347,1
33415,0
33462,0
33528,0
33540,0
33547,0
33554,1
33569,0
33592,1
33595,0
33634,0
33649,0
33666,1
33702,0
33715,1
33728,0
33752,0
33753,1
33774,1
33813,0
33863,0
33900,1
33912,0
33916,0
33960,0
33966,1
34031,1
34071,1
34142,0
34171,0
34184,0
34209,0
34232,0
34252,1
34297,0
34298,0
34311,0
34316,1
34324,0
34333,0
34359,1
34365,3
34380,3
34401,1
34413,1
34473,3
34476,0
34484,0
34497,0
34498,0
34506,0
34530,0
34531,0
34549,1
34560,0
34575,0
34593,0
34607,1
34612,3
34638,0
34651,0
34663,0
34668,0
34669,0
34729,0
34730,1
34756,1
34795,1
34826,0
34834,1
34837,0
34856,1
34886,1
34916,0
34927,0
34930,0
34933,1
34935,1
34936,0
34961,3
34968,0
35004,0
35039,3
35046,0
35047,1
35168,0
35181,0
35199,0
35210,0
35213,1
35217,0
35230,1
35239,0
